multiplier,cor_min,cor_max,cor_mean,cor_median,cor_EL,cor_EG,cor_EA,cor_LG,cor_LA,cor_GA,E_mean,E_sd,E_min,E_max,L_mean,L_sd,L_min,L_max,G_mean,G_sd,G_min,G_max,A_mean,A_sd,A_min,A_max,mean_diff_EL,mean_diff_EG,mean_diff_EA,max_diff,n_valid
39,0.9201831813486203,0.9908527332827737,0.9585265637046113,0.9644629137207472,0.9201831813486203,0.9257918048224425,0.9552347609242328,0.9736910665172617,0.9908527332827737,0.985405835332337,0.8352272392022173,0.24546657656179668,0.20484900337557732,1,0.8461524417075399,0.23674853129726395,0.2532847494458983,1,0.9009074044354981,0.150062690017407,0.5332642267301315,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.0431277156682123,0.07151252242092472,0.04987057632310244,0.479635383103973,86
40,0.9201360693092016,0.9908491428094905,0.9585016771347442,0.9644435761186049,0.9201360693092016,0.9257403385418984,0.9552079209964651,0.9736792312407446,0.9908491428094905,0.9853973599106652,0.8351100939912542,0.24564624366575027,0.2042377562004668,1,0.8461116626869194,0.23681335002072632,0.2530870154428056,1,0.9008960017784036,0.1500830417140365,0.5331445296500152,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04319837717211067,0.07161349519787995,0.0499702462352474,0.4802235923225291,86
41,0.9200912011398262,0.9908457241233067,0.9584779745031369,0.9644251563757988,0.9200912011398262,0.9256913221078152,0.9551823507643367,0.9736679619872611,0.9908457241233067,0.9853892868962753,0.8349983973947275,0.2458175580752727,0.20365493912498744,1,0.8460728371523238,0.23687506414276105,0.2528987537276086,1,0.900885145356368,0.15010241935297267,0.5330305665616039,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.043265771333055356,0.07170978005565408,0.050065280337539576,0.4807844750561505,86
42,0.9200484202667529,0.990842465185126,0.9584553732924258,0.964407590664133,0.9200484202667529,0.9256445846741251,0.9551579622261108,0.973657219102155,0.990842465185126,0.9853815883002849,0.8348917779162706,0.2459810890237804,0.20309861373598592,1,0.8460358280170208,0.23693389149639474,0.25271929957810285,1,0.9008747968371251,0.15012089122891048,0.5329219350796206,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.0433301196049825,0.07180169604285994,0.05015599470787232,0.4813198922712988,86
43,0.9200075843519226,0.9908393550549873,0.9584337984789316,0.9643908209389187,0.9200075843519226,0.9255999709187293,0.9551346753276581,0.9736469665501795,0.9908393550549873,0.9853742386701129,0.8347898970812545,0.24613735517046148,0.20256701391902832,1,0.8460005107278724,0.2369900300016051,0.25254804904679107,1,0.9008649213930459,0.15013851939791129,0.5328182696085306,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04339162387506413,0.07188953390039884,0.050242677328460744,0.4818315397166686,86
44,0.9199685637109031,0.9908363837693611,0.9584131817009361,0.9643747942985601,0.9199685637109031,0.925557339319582,0.9551124170852632,0.973637171511857,0.9908363837693611,0.9853672148086503,0.8346924458477807,0.2462868300942309,0.20205852713850403,1,0.8459667718650687,0.23704365988973106,0.2523844521705994,1,0.9008554873096054,0.15015536037378185,0.5327192372312017,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.043450468577537864,0.07197355913246989,0.050325591139428125,0.4823209658517209,86
45,0.9199312399379198,0.9908335422348004,0.9583934605353731,0.9643594624272378,0.9199312399379198,0.9255165606552406,0.9550911208219048,0.9736278040325709,0.9908335422348004,0.9853604955298021,0.8345991414753025,0.24642994708779156,0.20157167809300214,1,0.8459345079252288,0.2370949456365021,0.2522280070705149,1,0.9008464656451002,0.1501714657333844,0.5326245341376181,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04350682253942738,0.07205401468668048,0.05040497670313582,0.4827895875039887,86
46,0.9198955047052976,0.9908308221348013,0.9583745778667545,0.964344781108718,0.9198955047052976,0.9254775166976165,0.9550707255006973,0.9736188367167389,0.9908308221348013,0.9853540614453759,0.8345097247849823,0.24656710335194687,0.20110511442365409,1,0.8459036242608767,0.23714403764696362,0.2520782548082645,1,0.9008378299341606,0.15018688264406885,0.5325338825137278,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.043560840597014885,0.07213112329944191,0.05048105453504408,0.4832387035616057,86
47,0.9198612587138678,0.9908282158486842,0.9583564813347059,0.9643307098004896,0.9198612587138678,0.9254400990664987,0.9550511751408087,0.9736102444601705,0.9908282158486842,0.9853478947782048,0.8344239577555124,0.24669866367675305,0.20065759417010842,1,0.8458740341531634,0.2371910737283735,0.2519347748929309,1,0.9008295559283893,0.1502016543251701,0.5324470278161566,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.043612665015364926,0.07220508955479417,0.050554027149293,0.4836695069935043,86
48,0.9198284107713658,0.9908257163802596,0.9583391228492583,0.9643172112600011,0.9198284107713658,0.9254042082255917,0.9550324183045775,0.9736020042154246,0.9908257163802596,0.9853419791983302,0.8343416214072474,0.24682496368142737,0.20022797472602405,1,0.8458456579985918,0.23723618038241576,0.2517971813326536,1,0.9008216213690127,0.15021582045253926,0.5323637363883906,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04366242673866237,0.07227610169670903,0.0506240808589673,0.48408309543421546,86
49,0.9197968769822612,0.9908233172952249,0.9583224581643975,0.9643042512158111,0.9197968769822612,0.9253697525986259,0.9550144076461408,0.9735940947854814,0.9908233172952249,0.985336299678651,0.8342625139353599,0.24694631267298192,0.19981520310372747,1,0.8458184225939307,0.2372794739411059,0.2516651191716566,1,0.9008140057868976,0.15022941751445354,0.5322837933599014,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04371024649402839,0.07234433322835916,0.05069138736433752,0.48448048051560144,86
50,0.9197665800314805,0.9908210126658162,0.9583064465012328,0.9642917980768452,0.9197665800314805,0.9253366477888001,0.9549970995120496,0.9735864966416408,0.9908210126658162,0.985330842367609,0.8341864490585265,0.24706299617504224,0.1994183073129807,1,0.8457922605057212,0.23732106156856156,0.25153826143093194,1,0.9008066903262496,0.15024247912538594,0.5322070007955174,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.043756235768938584,0.07240994432727905,0.050756105158002274,0.48486259613160554,86
