obs_id,market_pig,market_pig_original,log_scale,size_class,Report_year,Scale-up,No.,E_TE_VRS,E_TE_CRS,E_SE,L_TE_VRS,L_TE_CRS,L_SE,G_TE_VRS,G_TE_CRS,G_SE,A_TE_VRS,A_TE_CRS,A_SE,Meta_TE_VRS,Meta_TE_CRS,Meta_Source,E_TGR_VRS,E_TGR_CRS,L_TGR_VRS,L_TGR_CRS,G_TGR_VRS,G_TGR_CRS,A_TGR_VRS,A_TGR_CRS
48,1.3584905660377358,18000,4.2552725051033065,Medium,2021,N/A,F25,1,1,1,0.9999999999999566,0.9999999999999566,1,1,1,1,1,0.9999999999999566,0.9999999999999566,1,1,E,1,1,0.9999999999999566,0.9999999999999566,1,1,1,0.9999999999999566
49,1.3584905660377358,18000,4.2552725051033065,Medium,2025,1,F45,0.2270206054820726,0.20924660202991485,0.9217075321668926,0.46485076634105815,0.32920402640673435,0.708192930384887,0.6853440075810586,0.6541438899833264,0.9544752456392609,0.5186739768367226,0.45589848066986716,0.8789692582039508,0.6853440075810586,0.6541438899833264,G,0.3312505879833229,0.3198785546024872,0.678273627840947,0.5032593462198744,1,1,0.7568082176240182,0.6969391408387039
50,1.471320754716981,19495,4.289923239524004,Medium,2025,1,F48,0.504321508419792,0.45944527018829046,0.9110166084882761,0.6406339360581532,0.43913478116216054,0.6854691212023122,0.7421161673812886,0.7144570035052797,0.9627293339079109,0.6768099859870838,0.5622389185600244,0.8307190056305613,0.7421161673812886,0.7144570035052797,G,0.6795721890811184,0.6430691671215386,0.8632529032735716,0.6146412996270886,1,1,0.9120000556992967,0.7869457725259313
51,1.4913207547169811,19760,4.29578694025161,Medium,2025,1,F15,0.545377840945674,0.4806026778446187,0.8812288321272157,0.5970463338953684,0.4250172337447623,0.7118664157466311,0.7664876770115112,0.7224962285665849,0.9426064504827445,0.6910745152708138,0.5721775548048064,0.8279534871584509,0.7664876770115112,0.7224962285665849,G,0.7115285180735964,0.6651974900936477,0.7789379422552698,0.5882622177668474,1,1,0.9016120363020984,0.7919453862617287
52,1.509433962264151,20000,4.301029995663981,Medium,2019,N/A,F22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1
53,1.509433962264151,20000,4.301029995663981,Medium,2025,N/A,F16,1,0.9131313473190208,0.9131313473190208,1,0.9100877837354786,0.9100877837354786,1,0.9025814227431296,0.9025814227431296,1,0.9099145933352469,0.9099145933352469,1,0.9131313473190208,E,1,1,1,0.9966668939879479,1,0.9884464325894997,1,0.9964772275169193
54,1.5359245283018867,20351,4.308585754289083,Medium,2025,N/A,F17,1,0.5964597955659736,0.5964597955659736,1,0.8535347966437978,0.8535347966437978,1,0.9360771184106847,0.9360771184106847,1,0.8284914372556187,0.8284914372556187,1,0.9360771184106847,E,1,0.6371908722420977,1,0.9118210239910243,1,1,1,0.8850675024107736
55,1.5592905660377356,20660.6,4.315142929618521,Medium,2021,N/A,F44,0.479058141598491,0.41340683382006393,0.862957536721188,0.27410032746290286,0.170885152586884,0.62344016210638,0.536311968387597,0.5152440223021092,0.9607169943478461,0.4389025230174195,0.3430746795087121,0.7816648606850134,0.536311968387597,0.5152440223021092,G,0.8932452934786491,0.8023515381565478,0.5110837415897613,0.33165868052844066,1,1,0.8183716733694466,0.6658489272245317
56,1.6603773584905661,22000,4.342422680822207,Medium,2025,N/A,F39,0.37672589202537504,0.31404043455031205,0.8336045947411528,0.39719392518967167,0.25377655497454743,0.6389235556746286,0.5511277688092473,0.5250304546706538,0.9526474338337575,0.4739455729202051,0.36802640331732384,0.7765161747365574,0.5511277688092473,0.5250304546706538,G,0.68355454641547,0.5981375589865666,0.7206930001873046,0.4833558752962985,1,1,0.8599558936110222,0.7009620109526465
57,1.7509433962264151,23200,4.365487984890899,Medium,2022,1,F21,1,0.6258704478430702,0.6258704478430702,1,0.7060073002262263,0.7060073002262263,1,0.83905351961104,0.83905351961104,1,0.7391463734029059,0.7391463734029059,1,0.83905351961104,E,1,0.7459243459621085,1,0.8414329762343528,1,1,1,0.8809287561841728
58,1.8113207547169812,24000,4.380211241711606,Medium,2024,1,F31,0.5432151972240373,0.4964441958442368,0.9138996817121248,0.5828272819569752,0.47554164558096607,0.8159220755490835,0.7374285474406147,0.7152855284448453,0.9699726582695761,0.6597566106764322,0.587538413168192,0.8905381221808499,0.7374285474406147,0.7152855284448453,G,0.7366343479776698,0.6940503842201206,0.7903508536247852,0.664827717981204,1,1,0.8946719149485632,0.8214040265089696
59,1.8339622641509434,24300,4.385606273598312,Medium,2020,N/A,F32,0.7383925229185984,0.7241574152700776,0.980721489984413,0.6528121582342443,0.6093314560855594,0.9333947727531707,0.8713675293798283,0.8299123733349917,0.9524251769235179,0.7601426337701607,0.7368732045860367,0.9693880751449079,0.8713675293798283,0.8299123733349917,G,0.8473950405796378,0.8725709346398353,0.7491811850033766,0.7342117983335628,1,1,0.8723559326466653,0.8878927803244114
60,1.9622641509433962,26000,4.414973347970818,Medium,2019,1,F53,0.7151448739208771,0.6667056130855454,0.9322665062678042,0.27751928484255384,0.24394278915288092,0.8790120271867881,0.5377305141671979,0.5121116404753405,0.9523574113484443,0.47393792101711507,0.44298213949740517,0.9346838897101208,0.7151448739208771,0.6667056130855454,E,1,1,0.3880602308187114,0.3658928084074499,0.7519182948470547,0.7681225872769593,0.6627159591016674,0.6644343932358131
61,1.9622641509433962,26000,4.414973347970818,Medium,2024,N/A,F18,0.2536155662666105,0.21680237562280802,0.8548464860193044,0.26066284832032627,0.20334952502821327,0.7801246949404882,0.5702354462135505,0.5652005052373228,0.9911704173957258,0.4118590681555782,0.3651080392121455,0.8864877999340962,0.5702354462135505,0.5652005052373228,G,0.4447558775075387,0.38358489352689906,0.45711442536791946,0.359782985230752,1,1,0.7222614288367808,0.6459796759361349
62,2.2641509433962264,30000,4.477121254719663,Medium,2018,0,F62,0.8888957080019892,0.8888955768470422,0.9999998524518166,0.8889519219272825,0.8888955768470422,0.9999366162794068,0.8900222286560365,0.8888955768470422,0.9987341307073919,0.8888888888892585,0.8888955768470422,1.0000075239525066,0.8900222286560365,0.8888955768470422,G,0.9987342780688204,1,0.9987974382051443,1,1,1,0.9987266163357634,1
63,2.2641509433962264,30000,4.477121254719663,Medium,2019,0,F56,0.4296781188844491,0.40067204340517737,0.9324934777815107,0.29813941946612404,0.22176148543473229,0.7438180628104759,0.6001663953010757,0.5822298425260426,0.9701140335155967,0.4710486569393141,0.40840565653218985,0.8670137373617549,0.6001663953010757,0.5822298425260426,G,0.7159316520360982,0.6881681668305343,0.49676126787565517,0.3808830623875366,1,1,0.7848634322536682,0.7014509162915713
64,2.2641509433962264,30000,4.477121254719663,Medium,2025,N/A,F42,0.6048563781187029,0.5789237729970558,0.9571260119595567,0.6317668926943942,0.575572851154251,0.9110525698798749,0.8008479389205497,0.7910720507750936,0.987793078223273,0.7156632514422192,0.6749734189701456,0.9431438845154133,0.8008479389205497,0.7910720507750936,G,0.7552699441718976,0.7318218010986804,0.7888724712783088,0.7275858761415018,1,1,0.8936318827352548,0.8532388652952733
